Plant_number,Branch_number,Total_leaves,Damaged_leaves,Ant_number,Plant_hight(Krithiks)
1,1,23,7,3,1
1,2,16,1,20,1
1,3,31,3,0,1
1,4,18,2,3,1
1,5,27,0,2,1
2,1,68,13,0,1.2
2,2,58,9,0,1.2
2,3,46,12,0,1.2
2,4,45,4,0,1.2
3,1,82,4,29,1.1
3,2,25,0,30,1.1
3,3,30,1,3,1.1
3,4,65,3,17,1.1
3,5,37,4,2,1.1
4,1,62,6,1,1.6
4,2,24,9,0,1.6
4,3,17,1,1,1.6
4,4,51,12,0,1.6
4,5,15,10,0,1.6
5,1,60,19,0,0.8
5,2,27,6,0,0.8
5,3,23,11,0,0.8
5,4,47,8,0,0.8
5,5,34,14,0,0.8
6,1,27,0,10,1.5
6,2,24,1,24,1.5
6,3,22,5,3,1.5
6,4,23,0,4,1.5
6,5,31,2,9,1.5
7,1,42,6,16,0.8
7,2,33,1,11,0.8
7,3,66,2,5,0.8
7,4,93,13,8,0.8
7,5,137,37,2,0.8
8,1,51,0,13,1.5
8,2,54,5,4,1.5
8,3,24,0,3,1.5
8,4,21,4,1,1.5
8,5,33,6,0,1.5
9,1,34,13,0,1.3
9,2,20,8,3,1.3
9,3,54,12,0,1.3
9,4,39,0,0,1.3
9,5,63,2,7,1.3
10,1,32,1,0,1.2
10,2,43,14,0,1.2
10,3,23,1,0,1.2
10,4,33,13,0,1.2
10,5,22,8,0,1.2
11,1,42,0,21,0.4
11,2,30,9,14,0.4
11,3,27,3,7,0.4
11,4,16,0,6,0.4
11,5,8,0,8,0.4
12,1,28,7,3,1.2
12,2,29,3,7,1.2
12,3,16,9,0,1.2
12,4,32,2,3,1.2
12,5,22,9,0,1.2
13,1,22,1,4,1.5
13,2,26,4,3,1.5
13,3,49,2,4,1.5
13,4,33,1,1,1.5
13,5,23,5,2,1.5